2021-1-00001,Marchelle,Bigender,Lindenman,student,College of Nursing,1999-06-25,Male,5'5,77.82,A+
2021-2-00001,Chickie,Bigender,Potten,student,College of International Tourism and Hospitality Management,1986-10-07,Male,5'6,35.48,O+
2021-3-00001,Hilly,Agender,Crust,student,College of Arts and Sciences,1998-01-12,Female,5'9,38.69,B+
2021-4-00001,Fern,Bigender,Aust,student,College of Nursing,1985-07-02,Female,5'4,92.96,A+
2021-1-00002,Davon,Genderqueer,Kee,student,College of Nursing,1984-03-19,Male,5'5,93.54,A+
2021-2-00002,Inglebert,Bigender,Grellis,student,College of International Tourism and Hospitality Management,1996-04-16,Male,5'6,40.18,O+
2021-3-00002,Alejandrina,Female,Jaulme,student,College of Allied Medical Sciences,2000-12-17,Male,5'9,46.21,B+
2021-4-00002,Katha,Polygender,Westwater,student,College of Allied Medical Sciences,2000-01-23,Male,5'4,66.05,A+
2021-1-00003,Ealasaid,Polygender,Maken,student,College of Business Administration,1993-09-07,Female,5'5,1.42,A+
2021-2-00003,Elisabeth,Genderfluid,Sarath,student,College of Nursing,1995-10-19,Female,5'6,84.43,O+
2021-3-00003,Marilin,Female,Evans,student,College of Allied Medical Sciences,1987-03-08,Female,5'9,57.78,B+
2021-4-00003,Maure,Male,Gabbetis,student,College of Nursing,1995-04-13,Female,5'4,76.16,A+
2021-1-00004,Jasper,Agender,Laurentino,student,College of Business Administration,1997-08-27,Male,5'5,25.35,A+
2021-2-00004,Georgetta,Male,Bosward,student,College of Fine Arts and Design,1995-10-02,Male,5'6,69.75,O+
2021-3-00004,Norbie,Male,Tevelov,student,College of Arts and Sciences,1983-09-10,Female,5'9,17.76,B+
2021-4-00004,Dania,Male,Foddy,student,College of Arts and Sciences,1997-04-02,Female,5'4,42.33,A+
2021-1-00005,Cherida,Male,Antalffy,student,College of Fine Arts and Design,1988-01-01,Female,5'5,27.45,A+
2021-2-00005,Eva,Female,Corish,student,College of Business Administration,1998-02-21,Male,5'6,91.25,O+
2021-3-00005,Willy,Agender,Saer,student,"College of Engineering, Computer Studies and Architecture",1989-01-27,Female,5'9,15.36,B+
2021-4-00005,Ransell,Bigender,Summerlee,student,"College of Engineering, Computer Studies and Architecture",2001-04-20,Male,5'4,59.97,A+
2021-1-00006,Bradley,Non-binary,Lamprey,student,College of Fine Arts and Design,1991-10-09,Male,5'5,7.51,A+
2021-2-00006,Thane,Bigender,Odcroft,student,College of Business Administration,1987-04-25,Male,5'6,13.41,O+
2021-3-00006,Claiborne,Bigender,De Ath,student,College of Fine Arts and Design,1998-03-27,Male,5'9,36.02,B+
2021-4-00006,Nikolos,Agender,McErlaine,student,College of Arts and Sciences,1986-07-18,Male,5'4,61.03,A+
2021-1-00007,Clifford,Genderqueer,Grenter,student,College of Arts and Sciences,1985-04-20,Male,5'5,94.63,A+
2021-2-00007,Demetri,Genderfluid,Cornwall,student,College of Fine Arts and Design,1995-12-28,Female,5'6,5.51,O+
2021-3-00007,Casey,Bigender,Daout,student,College of Allied Medical Sciences,1989-10-20,Female,5'9,61.73,B+
2021-4-00007,Steffi,Non-binary,Hugland,student,"College of Engineering, Computer Studies and Architecture",1997-07-04,Male,5'4,11.07,A+
2021-1-00008,Raddie,Agender,Ygou,student,College of Nursing,1987-06-05,Female,5'5,59.96,A+
2021-2-00008,Anica,Bigender,Klaussen,student,College of Allied Medical Sciences,1984-11-18,Female,5'6,55.9,O+
2021-3-00008,Gael,Female,Thornewill,student,College of International Tourism and Hospitality Management,1988-04-04,Male,5'9,54.11,B+
2021-4-00008,Ole,Polygender,Diehn,student,College of Fine Arts and Design,1987-03-30,Male,5'4,93.46,A+
2021-1-00009,Teresita,Female,Mallon,student,"College of Engineering, Computer Studies and Architecture",1991-05-01,Male,5'5,81.87,A+
2021-2-00009,Vern,Polygender,Velasquez,student,College of Business Administration,1989-05-20,Male,5'6,12.08,O+
2021-3-00009,Kain,Non-binary,Leggin,student,College of Fine Arts and Design,1987-09-19,Male,5'9,18.57,B+
2021-4-00009,Rafaello,Polygender,Belvard,student,"College of Engineering, Computer Studies and Architecture",1986-06-01,Female,5'4,40.67,A+
2021-1-00010,Diannne,Agender,Martynov,student,College of Fine Arts and Design,2002-08-29,Female,5'5,48.93,A+
2021-2-00010,Gnni,Female,Drewe,student,College of International Tourism and Hospitality Management,1999-09-21,Male,5'6,59.29,O+
2021-3-00010,Peri,Genderqueer,Ounsworth,student,College of Business Administration,1992-04-20,Female,5'9,61.47,B+
2021-4-00010,Shayla,Genderqueer,Leavens,student,College of Fine Arts and Design,1985-02-17,Female,5'4,29.75,A+
2021-1-00011,Theodosia,Agender,Boller,student,College of Fine Arts and Design,1981-01-25,Female,5'5,57.05,A+
2021-2-00011,Randall,Bigender,D'eath,student,College of Fine Arts and Design,1984-07-27,Female,5'6,83.28,O+
